"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",142,96,93
"AR",91,5,25
"ARID3A",1,32,67
"ARNT",108,43,4
"ARNTL",71,98,26
"ASCL2",46,47,10
"ATF1",55,56,144
"ATF2",171,167,180
"ATF3",131,44,60
"BACH1",72,28,42
"BACH2",109,7,22
"BARX2",106,18,125
"BATF",78,149,119
"BCL11A",2,50,3
"BCL6",123,139,121
"BHLHE40",111,162,41
"CEBPA",161,138,129
"CEBPD",31,23,47
"CLOCK",40,25,2
"CTCF",85,121,138
"E2F2",52,8,102
"E2F3",155,116,80
"E2F4",117,74,43
"E2F6",37,156,139
"E2F7",4,76,12
"E2F8",11,82,141
"EBF1",5,94,117
"EGR1",140,93,173
"EGR2",100,12,166
"EHF",132,175,181
"ELF1",50,110,73
"ELK1",47,136,108
"ELK3",14,41,1
"ELK4",36,57,94
"EPAS1",114,122,145
"ESR1",20,140,81
"ESR2",63,16,31
"ESRRA",83,45,124
"ETS2",156,141,167
"ETV1",69,173,78
"ETV5",92,6,82
"ETV6",141,108,168
"ETV7",79,51,143
"FOS",90,171,162
"FOSL1",76,123,55
"FOSL2",113,101,74
"FOXD2",99,68,97
"FOXH1",130,69,50
"FOXK1",180,146,104
"FOXM1",134,109,24
"FOXO3",13,88,130
"FOXP1",24,106,64
"FOXP2",165,129,86
"FOXP3",44,169,92
"GATA1",160,79,65
"GATA2",144,154,27
"GATA3",74,91,69
"GATA4",96,21,170
"GLI2",73,17,109
"GLIS1",89,39,34
"GMEB1",67,112,62
"GMEB2",17,4,66
"GRHL2",45,15,111
"GTF2B",179,181,135
"GTF2I",21,40,58
"HEY1",128,113,44
"HIF1A",125,83,118
"HINFP",129,100,89
"HNF1B",157,157,122
"HNF4A",154,62,29
"HNF4G",6,99,85
"HOXA1",124,124,137
"HOXA4",174,179,131
"HOXB13",84,13,83
"HOXC6",149,111,126
"HSF1",23,67,155
"HSF2",153,29,106
"IRF2",101,103,35
"IRF3",164,168,154
"IRF4",51,59,77
"JUN",30,118,21
"JUNB",143,37,158
"JUND",181,176,179
"KLF1",32,52,49
"KLF10",64,42,172
"KLF3",147,158,169
"KLF4",177,153,53
"KLF9",158,119,84
"KMT2A",56,46,110
"LHX2",152,97,98
"MAF",151,38,37
"MAFF",95,65,28
"MAFK",61,3,30
"MECOM",33,152,100
"MEF2A",87,95,103
"MEF2C",60,34,63
"MEIS1",70,48,16
"MITF",8,155,159
"MNT",121,1,48
"MXI1",34,135,132
"MYB",22,85,70
"MYBL2",16,49,52
"MYC",166,170,45
"NANOG",107,11,33
"NFAT5",110,54,163
"NFATC1",58,165,128
"NFE2",68,120,133
"NFIC",66,87,177
"NFYA",120,60,61
"NFYB",48,70,176
"NKX2-1",97,24,14
"NR2C2",28,125,8
"NR2F2",178,128,95
"NRF1",42,58,20
"PAX5",122,72,113
"PAX6",102,86,164
"PBX1",80,151,142
"PBX3",133,115,112
"PGR",136,126,79
"POU2F1",7,117,7
"POU2F2",173,33,150
"PPARG",57,147,123
"PRDM1",18,73,17
"RARG",49,53,11
"RBPJ",175,174,157
"RELA",65,177,178
"REST",163,35,156
"RFX2",38,36,68
"RFX5",159,134,161
"RUNX1",54,66,19
"RUNX2",19,63,59
"RUNX3",150,163,88
"RXRA",112,19,152
"RXRG",162,180,149
"SETDB1",39,75,18
"SIX5",82,137,120
"SMAD3",135,30,115
"SOX17",81,10,99
"SP1",170,160,174
"SP4",127,92,72
"SPDEF",43,80,23
"SPI1",172,90,153
"SPIB",103,133,114
"SREBF1",118,26,9
"SRF",138,84,151
"STAT1",119,61,105
"STAT2",94,178,171
"STAT3",145,144,91
"STAT4",75,22,38
"STAT5A",146,114,175
"STAT5B",169,71,146
"TBP",167,142,136
"TCF12",176,161,160
"TCF21",77,2,90
"TCF3",9,166,101
"TCF4",26,78,165
"TCF7L2",27,55,32
"TEAD4",88,164,56
"TFAP2A",25,20,39
"TFAP2C",168,64,75
"TFAP4",35,102,54
"TFDP1",62,31,5
"THAP1",3,9,96
"TP63",104,150,87
"TP73",15,130,148
"USF1",116,131,140
"USF2",29,148,134
"VDR",137,77,107
"VEZF1",115,143,15
"XBP1",86,172,46
"YY1",126,159,147
"ZBTB33",59,132,116
"ZBTB7A",10,145,40
"ZBTB7B",98,27,71
"ZEB1",93,89,127
"ZFX",105,105,51
"ZKSCAN1",12,14,6
"ZNF143",53,107,57
"ZNF263",41,81,36
"ZNF384",139,104,76
"ZNF76",148,127,13
